firstname;male;female
élisée;140;33
luise;2;171
cladie;1;171
zéa;1;171
adalbert;171;0
amboise;157;14
gertrud;0;171
guilhelme;1;170
jaques;170;1
jacobine;0;169
lorenzo;169;0
seconde;0;169
alexie;18;150
angelin;168;0
fannie;0;168
thomassine;0;168
angel;148;19
bienvenu;163;3
budoc;166;0
frantz;166;0
heloise;1;165
luisa;0;166
saverio;166;0
theresa;2;164
césarie;5;160
fleurant;162;3
henricus;164;1
hypolithe;154;11
letizia;1;164
similien;165;0
julius;163;1
zéphyr;163;1
emeric;161;2
israel;160;3
macaire;160;3
philipine;0;163
jeanine;1;161
othilie;1;161
angéla;0;161
appolonia;0;161
baltazard;161;0
briac;160;1
charle;156;5
lin;158;3
mirza;4;157
tiburce;158;3
florette;0;160
margarita;1;159
noémi;9;151
thiebauld;160;0
vedastine;3;157
ciriac;159;0
isoline;0;159
justinien;158;1
achile;158;0
florimone;2;156
fréderic;158;0
guiraud;158;0
jerôme;157;1
martinus;156;2
sybille;2;156
remie;0;157
amande;2;154
caspard;156;0
charline;0;156
florice;113;43
m;87;69
nina;0;156
théodosie;2;154
adolf;154;1
elize;5;150
andrive;3;151
brieuc;152;2
gérome;153;1
gerson;153;1
clémentin;152;1
fidele;150;3
filippo;151;2
gentille;1;152
gourgon;153;0
augustave;151;1
domingo;150;2
elisabetta;0;152
hipolyte;140;12
amedee;137;14
clorinde;2;149
ferjeux;150;1
sophronie;5;146
andéol;150;0
hildevert;148;2
landelin;150;0
léone;2;148
malcy;1;149
rogatien;149;1
vincens;150;0
adelice;1;148
alex;138;11
bénonie;67;82
brutus;148;1
cecilia;1;148
cécilien;149;0
gauthier;148;1
lucrece;1;148
yrieix;149;0
agata;0;148
beatrice;2;146
froisine;0;148
joël;147;1
ferreol;145;2
fleurent;147;0
sylvère;139;8
emerentine;1;145
eusébie;0;146
pulcherie;2;144
reinhard;146;0
suzane;0;146
adelson;143;2
avit;144;1
barthelémy;144;1
baselice;0;145
florina;1;144
gery;145;0
gisèle;0;145
jéromine;4;141
alpinien;144;0
angelo;144;0
baltazar;144;0
noélie;1;143
adrianne;0;143
laurette;2;141
quiterie;1;142
ysabelle;1;142
zephirin;143;0
aprone;2;140
armeline;0;142
fortune;124;18
gothon;5;137
hirma;4;138
brigitta;0;141
emérance;0;141
ezilda;1;140
genès;141;0
gens;139;2
jehanne;0;141
lia;1;140
raoulette;1;140
yacinthe;60;81
alexander;140;0
alise;1;139
austremoine;139;1
barthelemie;9;131
chrétienne;0;140
giles;139;1
herlé;140;0
micheline;0;140
prospert;140;0
vaast;138;2
domice;132;7
mortné;128;11
paula;1;138
thimothé;138;1
bastienne;0;138
deil;137;1
franã§oise;3;135
jaque;137;1
prince;138;0
quiric;138;0
sabin;138;0
aymé;136;1
fleurance;1;136
fleurice;33;104
heleine;3;134
zoée;0;137
athanaise;2;134
églantine;0;136
gille;134;2
hermand;136;0
ismaël;134;2
modéré;136;0
nicolao;136;0
olry;136;0
agathange;124;11
amed;135;0
elia;23;112
floréal;110;25
guyon;135;0
lydia;1;134
marcou;135;0
margareta;1;134
soulange;2;133
walbourgue;0;135
franck;134;0
furcy;133;1
gontran;134;0
hayem;130;4
marcus;134;0
nonna;131;3
romaric;134;0
yvan;134;0
alicia;1;132
bily;132;1
cassien;133;0
martina;1;132
pamphile;127;6
richardis;4;129
caradec;132;0
léonille;1;131
sigismund;132;0
tony;132;0
arséne;119;12
bizien;131;0
eduard;130;0
hylaire;123;7
laurans;130;0
sever;128;2
aldebert;129;0
athénaise;0;129
felice;51;78
ignatius;128;1
mattea;0;129
zéphyrin;128;1
bélonie;57;71
damarisse;1;127
euphemie;1;127
eusebe;122;6
ildefonse;121;7
ivan;128;0
pasquier;128;0
péronnelle;0;128
théotime;118;10
thérésia;1;127
aglae;1;126
arnaude;0;127
benoitte;0;127
léobin;127;0
sadi;126;1
zenaide;1;126
agapite;114;12
alberic;124;2
christoph;126;0
iphigénie;0;126
lidie;0;126
stephane;118;8
zaire;5;121
andreanne;0;125
bertine;1;124
elisabethe;1;124
ephraim;124;1
gabriele;12;113
hélis;0;125
leonce;108;17
malka;0;125
maury;124;1
poline;0;125
seligmann;123;2
fabienne;0;124
josèph;123;1
theodule;122;2
fleuri;120;3
frederique;11;112
gustin;122;1
oliphie;1;122
prudentienne;1;122
caliste;99;23
claudie;2;120
emiliand;121;1
nizier;121;1
angelle;1;120
clélie;0;121
eymard;121;0
léonidas;116;5
ludovica;4;117
savin;121;0
serge;120;1
vénérande;1;120
adelin;117;3
assomption;0;120
chéri;117;3
clette;115;5
elena;0;120
emérence;0;120
girard;118;2
gonery;119;1
isidorine;0;120
leo;120;0
magdelene;0;120
niclaus;120;0
sidoine;99;21
thimoté;119;1
dieudonne;118;1
guilain;117;2
jassuda;118;1
kilian;119;0
michaël;118;1
obéline;0;119
octavien;119;0
renelde;5;114
sanson;119;0
savinie;0;119
agricol;117;1
basilice;4;114
christien;117;1
ephrem;115;3
françis;117;1
sipora;0;118
ysabeau;3;115
charlotta;0;117
doumenge;4;113
emérentienne;1;116
ernst;117;0
giulio;116;1
lazarre;112;5
leandre;111;6
renobert;116;1
sebastianus;116;1
toussain;117;0
eleuthère;109;7
emerantine;0;116
fulcran;114;2
inès;0;116
manne;2;114
servan;115;1
tudine;1;115
anthony;113;2
édmé;114;1
eléonie;1;114
paola;2;113
salvador;112;3
thérésine;1;114
ulric;114;1
colombanne;0;114
esprite;0;114
eymeric;114;0
georgius;113;1
graci;1;113
isaline;0;114
jeannine;0;114
karoline;0;114
léonord;103;11
philéas;113;1
avoye;2;111
exupère;88;25
gaudence;36;77
hypolyte;104;9
madalena;1;112
yvonnette;0;113
adolph;108;4
alodie;1;111
apolinaire;108;4
derrien;110;2
elzéard;112;0
englebert;112;0
euphroisie;0;112
josèphte;0;112
maxellence;1;111
noêl;110;2
priest;112;0
bertille;4;107
come;108;3
gotton;3;108
héliodore;105;6
hortensia;0;111
inommé;101;10
jeannet;106;5
liboire;105;6
rémond;109;2
saturine;0;111
allanette;0;110
glossinde;0;110
ondoyée;2;108
pie;101;9
quéric;109;1
usmarine;2;108
voltaire;110;0
cléophée;1;108
francisco;108;1
gaspart;109;0
gottlieb;108;1
guerin;108;1
laurente;1;108
orphise;1;108
rousse;0;109
antoinnette;0;108
cado;107;1
chrisostôme;108;0
clairette;0;108
joannis;106;2
lézin;107;1
melina;0;108
théodor;107;1
winoc;108;0
alidor;105;2
amalia;0;107
émilia;0;107
fleuris;98;9
guillemine;0;107
norbertine;1;106
péronelle;0;107
principe;106;1
rufin;105;2
théodose;73;34
timoléon;107;0
vast;107;0
zélima;1;106
albain;105;1
batilde;1;105
bazille;100;6
claudaz;1;105
gaétan;106;0
abeline;0;105
adhémar;105;0
apollonia;0;105
aymée;1;104
guinolay;104;1
hillaire;101;4
lazaire;32;73
lorent;105;0
morandus;105;0
nicodème;101;4
polixine;0;105
usmar;104;1
christin;104;0
chrysoline;1;103
domitile;6;98
juliane;0;104
maur;103;1
mayol;104;0
zoë;0;104
aminthe;13;90
anasthase;71;32
edmonde;0;103
géral;103;0
indéfini;81;22
nabor;100;3
nannette;0;103
thomasine;0;103
vitalis;100;3
yvette;1;102
zéline;0;103
cadet;100;2
fronton;100;2
gengoulph;102;0
guillem;100;2
margaritha;0;102
priscille;8;94
rébecca;1;101
tremeur;102;0
zephir;100;2
amante;1;100
corinne;0;101
irene;15;86
maguerite;0;101
onesime;84;17
symphorose;2;99
therèse;0;101
vitalle;4;97
basilide;43;57
jacquotte;0;100
joséph;99;1
juan;100;0
ruffin;100;0
silvère;98;2
stillborn;74;26
symphorienne;0;100
ursine;0;100
agapit;96;3
anita;0;99
aphrodise;94;5
aventin;99;0
balthasard;99;0
idalie;0;99
louize;1;98
nickel;99;0
primel;95;4
raymondine;0;99
servanne;1;98
sibille;2;97
stella;1;98
ursmer;99;0
venance;93;6
vorle;99;0
agricole;80;18
airy;95;3
alina;0;98
alma;2;96
astasie;0;98
chérie;2;96
clere;2;96
esmé;92;6
fébronie;0;98
florentz;98;0
germanie;1;97
justina;0;98
méen;98;0
mort;79;19
rosaline;0;98
timothé;95;3
alfreda;0;97
célie;0;97
clorinthe;2;95
domitien;97;0
éliza;1;96
lambertine;3;94
polydore;96;1
thérésa;1;96
tulle;0;97
wolfgang;97;0
artus;96;0
babet;0;96
celenie;0;96
colombane;1;95
ermine;0;96
euranie;1;95
gabrièle;0;96
gratienne;2;94
innocente;0;96
josias;95;1
julite;1;95
liza;1;95
margareth;1;95
oury;95;1
suzanna;1;95
thuriane;1;95
vincence;1;95
alexandra;1;94
cajetan;95;0
henrich;95;0
maximien;95;0
péroline;0;95
thénénan;95;0
aubertine;1;93
claris;8;86
eric;94;0
géraude;0;94
isabella;0;94
phillipe;86;8
severine;2;92
zelmire;1;93
adéodat;90;3
albane;0;93
barnabe;91;2
bélanie;0;93
bérénice;0;93
eveline;0;93
florisse;24;69
gracian;92;1
léoncie;0;93
mammes;88;5
mémie;91;2
messidor;77;16
nicolade;0;93
orsola;2;91
philipe;59;34
aloysius;90;2
arnauld;92;0
aurélia;0;92
euphanie;0;92
foi;1;91
homère;88;4
jammes;92;0
josé;91;1
urbin;92;0
brigite;0;91
chiara;0;91
christ;89;2
edward;91;0
esperance;0;91
félise;0;91
fidélie;2;89
fromette;0;91
gondrice;3;88
huberte;0;91
paisible;2;89
thereze;0;91
wiry;91;0
adélie;0;90
aldégonde;0;90
amelina;0;90
cyriac;90;0
diogène;87;3
genevièvre;0;90
gui;90;0
guilbert;90;0
infant;60;30
isabel;4;86
jonathas;89;1
kleber;88;2
matilde;0;90
sébastian;89;1
annick;0;89
cazimir;89;0
christophle;80;9
édith;1;88
elphège;83;6
guérine;1;88
joan;89;0
marty;88;1
mathurinne;0;89
nsv;46;43
olympie;0;89
osithe;0;89
armentine;0;88
flory;77;11
frix;87;1
fulbert;88;0
jeremie;86;2
job;88;0
odet;88;0
sebastiano;88;0
tréphine;1;87
amaranthe;6;81
aveline;0;87
benedetto;87;0
celinie;0;87
darie;2;85
gustav;87;0
ladreyt;85;2
olympiade;12;75
quintin;86;1
restitue;2;85
romanie;1;86
angelica;0;86
appolinie;1;85
arméline;0;86
barnabée;2;84
eleonor;63;23
emeline;0;86
florida;0;86
genet;85;1
gobrien;86;0
guilhalme;1;85
othon;85;1
vidian;83;3
vivante;0;86
blondine;0;85
borach;85;0
domenica;0;85
gérasime;79;6
guénin;85;0
heymann;84;1
jumeau;81;4
léonel;85;0
odot;82;3
olivia;0;85
ouen;84;1
rolande;0;85
théofrède;85;0
thurianne;1;84
willibald;84;1
zozime;76;9
cathrine;0;84
clémente;1;83
cristine;0;84
damassine;0;84
eugenia;1;83
gertrudis;0;84
lodoiska;1;83
remiette;0;84
thérence;2;82
tobias;84;0
vallier;80;4
anastaise;1;82
azéline;0;83
basilisse;2;81
célanie;0;83
elaine;2;81
evelyne;0;83
gauderique;83;0
mery;79;4
noëlie;0;83
silvestro;83;0
taurin;83;0
alcime;74;8
bernade;0;82
goal;82;0
godelive;0;82
goudchaux;82;0
haude;0;82
magdaleine;0;82
margaret;0;82
nicolette;0;82
noë;82;0
simonette;1;81
stephanus;82;0
audouin;81;0
catalina;1;80
eliacin;80;1
floribert;81;0
fritz;80;1
frosine;0;81
johan;81;0
jossine;0;81
natalis;77;4
renelle;1;80
septime;68;13
vivent;81;0
basilique;26;54
bélisaire;73;7
catiche;0;80
charité;0;80
emérantine;1;79
emilian;80;0
gracien;80;0
helaine;0;80
jacinthe;18;62
livia;0;80
rèmy;80;0
thadée;76;4
verain;80;0
vittoria;0;80
aman;79;0
arbogaste;78;1
cirille;66;13
dominiquaz;0;79
gérardine;0;79
mauriza;0;79
napoleone;66;13
pasquin;79;0
renault;79;0
saubadine;0;79
theodor;79;0
vorles;79;0
clary;24;54
eufroisine;2;76
hélion;78;0
huguet;78;0
katherine;0;78
libère;2;76
maffre;76;2
marina;1;77
mireille;1;77
vindicienne;0;78
aglaure;0;77
alzina;1;76
anatalie;1;76
arthémon;76;1
azémia;0;77
corneil;76;1
eglé;0;77
guilaume;77;0
louyse;0;77
vulfran;77;0
affre;8;68
alisse;2;74
bartholomée;11;65
cirice;74;2
couronne;1;75
damarice;2;74
desirée;1;75
dominicus;76;0
eliana;0;76
frederick;76;0
jacquême;0;76
marinette;0;76
martinien;76;0
olimpe;7;69
seligman;76;0
tudec;76;0
agate;2;73
carole;0;75
damasse;74;1
ella;1;74
françine;1;74
herveline;1;74
leopoldine;0;75
pourçain;74;1
séphora;0;75
vincenzo;75;0
amarante;4;70
engelbert;74;0
friederich;73;1
hartmann;73;1
herménégilde;25;49
hospice;74;0
joaquim;74;0
laëtitia;0;74
léonne;0;74
madeline;0;74
mortnée;0;74
pancras;74;0
salvi;73;1
thèrèse;0;74
alexia;3;70
andres;73;0
andrieu;73;0
annibal;73;0
arnault;73;0
arthemise;1;72
emiliane;2;71
erhard;72;1
esme;72;1
éva;0;73
genereuse;0;73
gentil;72;1
gertruda;0;73
graziosa;1;72
hélenne;0;73
philipette;0;73
placidine;0;73
verane;0;73
yvone;1;72
anathoile;42;30
andréane;0;72
andree;1;71
bessel;1;71
chaterine;0;72
climène;0;72
doucette;0;72
elouan;72;0
fidéle;71;1
frida;0;72
gilibert;71;1
henrietta;1;71
josephina;0;72
leonide;11;61
liesse;4;68
lorette;0;72
moricette;0;72
oliva;0;72
otto;72;0
secondine;1;71
spire;72;0
théophane;72;0
thérèsia;0;72
thimoléon;71;1
thoinette;1;71
werner;71;1
wilhelmina;0;72
alour;69;2
aynard;71;0
béate;4;67
bianca;0;71
bologne;1;70
evodie;0;71
guillonne;0;71
hippolythe;64;7
jost;71;0
marcantonio;71;0
moritz;70;1
regnault;71;0
rollande;0;71
syre;8;63
adel;34;36
antelme;70;0
battista;69;1
blasius;70;0
cathérine;0;70
egide;66;4
émerance;0;70
gaetan;70;0
georgia;0;70
gonzalve;69;1
héand;70;0
honorate;1;69
janette;1;69
josephette;1;69
sorlin;70;0
thurienne;0;70
adèlaide;0;69
augustinus;68;1
cézaire;65;4
didiere;0;69
emilland;68;1
florestan;68;1
franoise;2;67
galle;66;3
goeury;69;0
jacquinne;0;69
jospeh;69;0
philidor;69;0
rosaly;0;69
amelia;1;67
andréaz;1;67
angely;62;6
armante;2;66
coelina;0;68
emilianne;0;68
erminie;0;68
genes;66;2
giacinto;65;3
gillonne;1;67
joanne;19;49
joannet;65;3
landry;67;1
léonise;0;68
ludovique;5;63
lupien;68;0
mansui;67;1
mnm;68;0
omerine;0;68
précieuse;0;68
reynaud;67;1
seurette;0;68
souveraine;1;67
vérène;1;67
affra;1;66
avoie;2;65
azema;2;65
bernadine;1;66
délie;0;67
elisabet;0;67
gemme;3;64
nephtalie;50;17
pancrasse;67;0
philemon;67;0
sincère;55;12
tharsile;22;45
thecle;7;60
a;42;24
donate;17;49
florentius;64;2
guillalme;0;66
lazarde;0;66
mathée;2;64
mauricia;0;66
pétroline;0;66
rosemonde;0;66
sernin;65;1
tite;64;2
ulalie;0;66
ursmar;65;1
ariste;65;0
azoline;1;64
bauduin;64;1
deny;65;0
geronimo;65;0
lacombe;64;1
liphard;65;0
louys;64;1
ludovie;0;65
margerite;3;62
marielle;0;65
mériadec;64;1
miguel;65;0
pelerin;65;0
philip;65;0
pierrine;3;62
ruben;65;0
vigor;65;0
xfils;65;0
amalie;0;64
angette;0;64
barthélèmy;64;0
benedetta;1;63
cidonie;0;64
dalila;0;64
dupré;64;0
ellen;0;64
ermence;1;63
fénélon;63;1
fleurantine;1;63
fursy;64;0
gladie;0;64
gustavie;0;64
josselin;64;0
pedro;64;0
quénan;64;0
seraphie;0;64
vérane;0;64
victurnien;63;1
arthus;62;1
bernardus;63;0
blaisie;1;62
cristophe;63;0
demet;63;0
ferdinant;63;0
gérarde;1;62
hermant;63;0
hindel;3;60
pipe;63;0
quentine;0;63
raimonde;0;63
réparate;10;53
roman;63;0
saloméa;0;63
veronica;0;63
vinard;62;1
abéline;0;62
alfrédine;0;62
barthélemie;9;53
bastiano;62;0
baudile;61;1
bibianne;2;60
bibienne;0;62
bieuzy;60;2
cassiodore;58;4
damaris;3;59
ermeline;0;62
fleuret;62;0
fulcrande;0;62
godefroi;62;0
hughes;62;0
léodie;1;61
ludovine;2;60
maudé;55;7
zénobe;60;2
adine;1;60
angella;0;61
apollon;61;0
athanasie;1;60
barthélémine;0;61
basle;60;1
clemens;60;1
collette;4;57
cornille;43;18
emelina;0;61
faron;60;1
floribonde;0;61
frieda;0;61
guilhemette;0;61
hana;0;61
hélene;0;61
hélix;2;59
homérine;0;61
irmine;1;60
jéronime;1;60
léocardie;0;61
matern;56;5
moreil;61;0
noëline;0;61
ortance;0;61
philippus;61;0
remèze;61;0
tancrède;60;1
usmérie;1;60
valence;9;52
x;28;33
xiste;58;3
alfons;60;0
andrieux;60;0
daria;0;60
epiphanie;3;57
erasmus;60;0
évariste;59;1
gonéry;60;0
hermeline;0;60
lievine;0;60
nancie;0;60
phillippe;60;0
amede;59;0
anseline;9;50
brigida;0;59
camilla;0;59
chrisotome;59;0
emérentine;1;58
enriette;0;59
foulques;59;0
franciska;0;59
front;59;0
gand;59;0
hylarion;59;0
janeton;0;59
laurencie;0;59
laurencine;0;59
nadine;0;59
second;58;1
silas;59;0
valbourg;3;56
vincense;0;59
arnoul;57;1
balsamie;0;58
benedict;54;4
dévote;3;55
elizabet;0;58
gengoul;58;0
giron;58;0
josefa;0;58
magdalaine;0;58
marcello;58;0
mario;56;2
optat;53;5
phany;0;58
quiriace;58;0
rocco;58;0
rupert;58;0
stephen;58;0
theobaldus;58;0
zéphire;37;21
albérique;34;23
alfonse;57;0
basilie;0;57
bravi;56;1
brendel;1;56
célerine;0;57
cesaire;42;15
cyrice;57;0
damarise;0;57
diana;0;57
elyse;3;54
elzear;57;0
fleur;5;52
ludgarde;0;57
maixent;57;0
mnf;1;56
paulina;3;54
piere;57;0
salvadore;56;1
silvanie;0;57
thaurin;57;0
thépault;56;1
viatre;56;1
zéphérine;0;57
zilda;0;57
zima;0;57
adélia;0;56
aldéric;55;1
ambrosius;55;1
anriette;3;53
anthèlme;56;0
aure;0;56
benedictine;0;56
benedictus;51;5
cléonice;9;47
eglée;0;56
elisabette;2;54
fabiana;1;55
fabrice;56;0
gobert;54;2
guillalmette;0;56
guillaumine;1;55
hermenegilde;35;21
julian;56;0
marguerie;2;54
pantaleon;56;0
paschaline;0;56
paulonie;1;55
polixène;6;50
télésphore;55;1
valéri;54;2
valier;55;1
vorlette;0;56
adelbert;55;0
alphons;55;0
amour;48;7
antoinaz;1;54
bathélémy;55;0
bernardino;54;1
blimont;55;0
clairine;1;54
dorothéa;0;55
genneviève;0;55
gentile;1;54
guillelme;2;53
guitton;2;53
j;46;9
jennie;0;55
line;3;52
marque;7;48
merlé;0;55
mesmin;55;0
monica;0;55
raine;0;55
salvin;55;0
walter;55;0
aimard;54;0
alcine;14;40
alessandro;54;0
amèlie;0;54
bella;0;54
brebion;24;30
caterine;0;54
catherinne;1;53
cyrile;52;2
cyrus;54;0
fabian;53;1
gal;53;1
geffroy;54;0
ignatz;53;1
ildephonsine;0;54
jacobé;5;49
lajeunesse;53;1
léocade;18;36
lizier;54;0
madelon;5;49
marcantonia;0;54
michellaz;0;54
n;40;14
raulin;52;2
ruphine;0;54
simond;51;3
suzon;1;53
adelphie;29;24
aimery;53;0
antoinne;53;0
barthélemi;52;1
brandan;53;0
cerice;51;2
chrisosthome;53;0
cirile;47;6
emmelie;0;53
emmeline;0;53
emond;53;0
fidèline;0;53
geofroi;53;0
johannès;53;0
julianna;0;53
jullie;2;51
jumeaux;50;3
libert;28;25
louisette;0;53
louvent;53;0
mamès;53;0
nélie;0;53
nellie;0;53
patrick;53;0
tristant;53;0
ursanne;53;0
zaccharie;51;2
ambroggio;52;0
andrew;52;0
andronique;46;6
benedicte;10;42
chrisogone;47;5
ciriaque;51;1
cléonie;0;52
damasine;0;52
divy;52;0
eymery;52;0
hippolytaz;0;52
hugue;52;0
isodore;52;0
livie;0;52
mathilda;1;51
menge;51;1
nunzio;52;0
othilia;0;52
ramon;52;0
salvatore;52;0
sébastianus;51;1
thérèsine;1;51
urban;52;0
urbine;0;52
aima;2;49
alfonso;51;0
alfréda;0;51
alfredine;0;51
ameline;0;51
cir;51;0
cire;19;32
constand;51;0
crepin;51;0
darius;51;0
elzeard;51;0
emerentiane;0;51
emiliande;0;51
ethienne;51;0
hilarie;2;49
himère;51;0
hyppolithe;47;4
ithier;51;0
jacobea;2;49
jasmin;51;0
létitia;0;51
magdaléna;0;51
mariano;51;0
oside;9;42
philadelphe;50;1
sylvia;0;51
titus;50;1
vélina;0;51
agile;50;0
allexis;50;0
ame;46;4
amon;50;0
bonaventura;46;4
couronné;50;0
déodat;50;0
edouart;50;0
éléonor;43;7
emé;48;2
euge;50;0
eugénia;0;50
gébertrude;0;50
guenole;50;0
hersilie;0;50
hirtz;49;1
idoux;50;0
isai;50;0
ismael;50;0
joackim;50;0
libéral;50;0
ludger;50;0
magdalèna;0;50
miette;0;50
obeline;0;50
pharailde;0;50
philomena;0;50
philoxime;49;1
ramond;49;1
sn;31;19
thérèsa;0;50
verena;0;50
victorinne;0;50
villars;49;1
wenceslas;50;0
albanne;1;48
allour;49;0
anselm;49;0
arsenne;23;26
auxiliatrice;0;49
bengude;0;49
cattarina;0;49
cornelie;1;48
cyre;9;40
emerantienne;0;49
gregorio;49;0
illisible;31;18
joséphe;0;49
juana;0;49
lange;49;0
magdalene;0;49
mindel;1;48
nicoline;0;49
onésiphore;48;1
porphyre;46;3
rosalinda;0;49
rosalinde;25;24
stéphan;49;0
ugénie;0;49
wulfran;49;0
yseult;0;49
armide;5;43
belle;0;48
bernardo;48;0
bilyenne;0;48
boscat;48;0
claudien;48;0
erneste;35;13
ezéchiel;47;1
faustina;0;48
giacominetta;0;48
guillauma;1;47
helenne;0;48
hirsch;48;0
judes;48;0
jule;42;6
luciano;47;1
lyon;47;1
magdelena;0;48
maurisa;0;48
ortense;1;47
osmin;48;0
palma;0;48
palmyr;46;2
parfaite;0;48
prospere;33;15
quantin;48;0
quinibert;48;0
remond;47;1
roselyne;0;48
séraphique;4;44
serein;48;0
simplice;43;5
thr;0;48
tudyne;0;48
ustelle;0;48
victorie;11;37
zémia;0;48
attale;33;14
barthlmy;47;0
baudouin;47;0
garçon;42;5
gautier;47;0
hermandine;1;46
honoree;0;47
liébert;47;0
médart;47;0
persile;0;47
pierrre;47;0
réol;46;1
simonde;0;47
stefan;47;0
théobaldus;47;0
vérand;47;0
wendelinus;47;0
zenobie;0;47
abélard;46;0
alexi;46;0
alphé;46;0
améline;0;46
ananie;7;39
appollinaire;43;3
aubierge;1;45
auxile;46;0
breinel;1;45
cecille;0;46
cézar;46;0
claudy;41;5
eléontine;0;46
francisse;39;7
gangolph;46;0
guiseppe;46;0
guttel;0;46
hectorine;0;46
hégésippe;41;5
hermantine;0;46
ignaz;46;0
laurine;2;44
ligière;0;46
marco;46;0
nectaire;46;0
poncet;46;0
quilicus;46;0
roc;46;0
serafina;1;45
sire;5;41
valentinus;46;0
anaisse;1;44
aquilin;45;0
arcène;26;19
bartholomeus;44;1
batta;44;1
bénédict;42;3
bénine;0;45
cunegonde;0;45
dominik;45;0
edmont;45;0
éliane;0;45
elsa;1;44
émmanuel;45;0
firmain;45;0
germer;44;1
hiérome;45;0
jérémy;45;0
libérale;0;45
lucius;45;0
manette;0;45
mariola;0;45
maturin;44;1
meriam;0;45
noelie;2;43
noéline;0;45
ophélie;0;45
patience;0;45
phillipine;0;45
praxède;4;41
remacle;43;2
roberde;0;45
s;19;26
telesphore;41;4
thobias;45;0
vénérante;0;45
vitalie;1;44
amarin;44;0
aménaide;1;43
augustina;1;43
auxilia;0;44
boson;44;0
cléophine;0;44
eleuther;41;3
engelhard;44;0
félixe;4;40
fleurestine;0;44
florance;0;44
francille;0;44
frédérick;44;0
genoveva;2;42
geromina;0;44
guilhelmette;0;44
gury;43;1
hélise;0;44
hiacinte;24;20
ildéphonse;44;0
jeannne;0;44
margarida;0;44
mariuccia;0;44
milande;0;44
nicklaus;44;0
olinda;0;44
ozélia;0;44
pîerre;44;0
rosanne;0;44
satur;44;0
severe;39;5
tonine;1;43
vulfranc;44;0
y;42;2
adélayde;0;43
agnese;0;43
ambroisie;0;43
berthile;2;41
cerise;5;38
cilinie;1;42
dosithée;25;18
dsir;33;10
elis;9;34
eugenne;4;39
fanni;0;43
flour;40;3
fortis;43;0
goetschel;39;4
herbert;42;1
jacobe;1;42
jeanbaptiste;43;0
jucondin;43;0
judique;2;41
mandé;42;1
marcantea;0;43
marian;32;11
maximillien;43;0
mercure;43;0
méven;41;2
moyses;42;1
onezime;40;3
oudette;1;42
p;33;10
pérette;0;43
prisca;0;43
prosperine;0;43
raimon;43;0
romée;41;2
sylvin;43;0
théoline;0;43
thurien;43;0
victoric;43;0
vincende;0;43
virginia;0;43
ythier;43;0
zelina;0;43
adelayde;0;42
agnesse;1;41
alfrède;22;20
aloèèse;42;0
amandus;41;1
antime;40;2
armant;42;0
assiscle;42;0
audivine;0;42
batiste;42;0
benel;42;0
béranger;42;0
cain;42;0
celestina;0;42
dorotea;0;42
elizée;28;14
emerie;30;12
euchaire;42;0
fenelon;42;0
fidelle;30;12
franc;42;0
garcon;42;0
herrmann;42;0
hypollite;41;1
izidore;40;2
léonisse;3;39
lippmann;42;0
manon;0;42
marcien;42;0
mariejeanne;1;41
miriam;0;42
nataline;0;42
nerte;0;42
romarin;42;0
romulus;42;0
rudolphe;42;0
sérène;1;41
siegfried;41;1
teodora;3;39
thiery;42;0
unité;13;29
vulgan;42;0
walburg;2;40
xfille;0;42
adoline;0;41
adonia;0;41
alfrede;28;13
aloÿse;41;0
apolonia;1;40
ariadne;0;41
arménie;1;40
arnestine;2;39
athanas;41;0
basiline;0;41
baudille;41;0
breinlé;0;41
camil;37;4
célérine;0;41
crisoline;0;41
enimie;1;40
epvre;40;1
euphasie;0;41
euphrosyne;1;40
fides;5;36
franchette;0;41
frise;1;40
fructueux;41;0
gaucher;39;2
gratie;0;41
jacquème;1;40
juny;0;41
laurant;41;0
lazar;40;1
leona;0;41
luglien;41;0
luiggi;41;0
luis;41;0
mammés;41;0
mative;0;41
méline;0;41
mérance;0;41
moses;41;0
nicollas;41;0
pellerin;41;0
philberte;0;41
rémie;1;40
renè;41;0
rosane;0;41
servois;41;0
tanneguy;41;0
télémaque;41;0
absalon;40;0
adelgonde;0;40
adelise;0;40
anténor;40;0
auxibi;38;2
consoline;0;40
domithilde;0;40
elies;40;0
emmélie;1;39
ernier;39;1
esaie;37;3
fiacrine;3;37
fillette;0;40
folquin;40;0
gauzelin;40;0
germinal;36;4
giorgio;40;0
glaude;36;4
goton;3;37
gratiane;0;40
gudule;0;40
gustavine;1;39
hieronymus;40;0
hugo;40;0
judithe;0;40
liberté;21;19
mathaus;39;1
maureil;40;0
mederic;36;4
orpha;0;40
pascalie;1;39
pétronelle;0;40
philippette;0;40
raoult;39;1
réole;35;5
rhodène;0;40
vogel;0;40
zéphyrine;1;39
adelaîde;0;39
algis;39;0
almir;39;0
alpin;39;0
anet;37;2
anthyme;39;0
aramis;37;2
christianus;38;1
chrysole;34;5
duminie;1;38
estella;0;39
estève;26;13
gerome;39;0
giabica;2;37
godchaux;39;0
guilhen;39;0
héli;38;1
hermina;0;39
idulphe;38;1
isaias;39;0
lèonard;39;0
lezin;39;0
liliane;0;39
linus;39;0
magdelenne;0;39
mérantine;0;39
montain;39;0
nicéphore;38;1
paméla;0;39
pey;39;0
philipinne;0;39
psalmet;39;0
rudolf;39;0
thuriaf;37;2
ubald;39;0
