firstname;male;female
CHARLTON;31;0
CHARLY;23299;636
CHARLYE;0;192
CHARLYN;0;85
CHARLYNE;0;3144
CHARLYNN;0;21
CHARLYS;21;0
CHARLYSE;0;208
CHARLYZE;0;85
CHARMAINE;0;51
CHARMILA;0;59
CHARONE;0;24
CHARONNE;0;25
CHASE;23;0
CHAWKI;132;0
CHAYA;0;97
CHAYAN;181;0
CHAYANA;0;87
CHAYANE;95;20
CHAYANN;66;0
CHAYANNA;0;32
CHAYANNE;70;25
CHAYENNE;0;49
CHAYILI;0;41
CHAYMA;0;2129
CHAYMA'A;0;26
CHAYMAA;0;301
CHAYMAE;0;299
CHAYNA;0;241
CHAYNE;24;0
CHAYNES;0;44
CHAYNESE;0;46
CHAYNESS;0;28
CHAYNESSE;0;35
CHAYNEZ;0;152
CHAYNEZE;0;45
CHAYTON;91;0
CHAZA;0;36
CHAZIA;0;20
CHE;22;0
CHECK;58;0
CHEDI;38;0
CHEDIA;0;89
CHEDINE;0;20
CHEDLI;113;0
CHEDLIA;0;36
CHEDLY;49;0
CHEDY;33;0
CHEFIA;0;40
CHEHERAZADE;0;54
CHEHINE;26;0
CHEHINEZ;0;24
CHEHLA;0;20
CHEHRAZAD;0;92
CHEHRAZADE;0;106
CHEHRAZED;0;51
CHEICK;1019;0
CHEICK-OMAR;39;0
CHEICK-OUMAR;112;0
CHEICK-TIDIANE;31;0
CHEICKH;61;0
CHEICKNA;190;0
CHEICKNE;259;0
CHEIK;219;0
CHEIK-OUMAR;26;0
CHEIKH;1355;0
CHEIKH-IBRAHIMA;30;0
CHEIKH-OMAR;20;0
CHEIKH-OUMAR;36;0
CHEIKH-TIDIANE;84;0
CHEIKHNA;91;0
CHEIKHOU;81;0
CHEIKHOUNA;39;0
CHEIKNA;41;0
CHEIKNE;55;0
CHEIMA;0;855
CHEIMAA;0;31
CHEINA;0;84
CHEK;24;0
CHEKER;26;0
CHEKIB;49;0
CHEKINA;0;20
CHELBY;0;104
CHELCY;0;70
CHELDON;44;0
CHELI;0;23
CHELLY;0;65
CHELSEA;0;2365
CHELSEE;0;30
CHELSEY;0;104
CHELSIE;0;120
CHELSSY;0;168
CHELSY;0;1035
CHELSYE;0;23
CHELTON;44;0
CHELY;0;28
CHEM'S;24;0
CHEMA;0;20
CHEMOUEL;43;0
CHEMS;402;112
CHEMS-DINE;59;0
CHEMS-EDDINE;414;0
CHEMS-EDINE;33;0
CHEMSA;0;35
CHEMSDINE;158;0
CHEMSEDDINE;268;0
CHEMSEDINE;151;0
CHEMSI;22;50
CHEMSSEDINE;36;0
CHEMSSY;0;31
CHEMSY;31;103
CHEN;53;20
CHENDA;0;26
CHENG;33;0
CHENOA;0;103
CHERAZ;0;95
CHERAZAD;0;130
CHERAZADE;0;423
CHERAZE;0;48
CHERAZED;0;51
CHERAZEDE;0;27
CHERI;111;0
CHERIANE;0;54
CHERIE;0;77
CHERIF;2630;0
CHERIFA;0;1531
CHERIFE;20;0
CHERIFF;48;0
CHERIFFA;0;44
CHERIHANE;0;99
CHERIN;0;20
CHERINA;0;26
CHERINE;0;2050
CHERINNE;0;41
CHERISH;0;24
CHERLEY;0;66
CHERLINE;0;28
CHERRINE;0;25
CHERRY;0;41
CHERRYL;0;93
CHERUBIN;69;0
CHERY;54;0
CHERYANE;0;35
CHERYL;0;859
CHERYLINE;0;28
CHERYN;0;38
CHERYNE;0;451
CHESTER;46;0
CHEUN;71;0
CHEYENE;0;30
CHEYENNE;30;2563
CHEYMA;0;320
CHEYMAA;0;27
CHEYNA;0;27
CHI;108;26
CHIARA;0;9945
CHIARRA;0;38
CHICO;39;0
CHIFA;0;49
CHIFAA;0;41
CHIFAE;0;26
CHIFAOU;0;22
CHIHAB;189;0
CHIHEB;129;0
CHIKH;23;0
CHILDEBERT;34;0
CHILDERIC;162;0
CHILO;21;0
CHIMA;0;29
CHIMAMANDA;0;27
CHIMENE;0;756
CHIMON;27;0
CHIMONE;26;0
CHINA;0;21
CHINE;0;86
CHIOMA;0;45
CHIRA;0;66
CHIRAZ;0;700
CHIRAZE;0;175
CHIREL;0;92
CHIRELLE;0;38
CHIRINE;0;1266
CHIRLEY;0;24
CHIRLY;0;33
CHIRYNE;0;20
CHJARA;0;380
CHJARA-MARIA;0;42
CHJARA-STELLA;0;45
CHLEA;0;568
CHLEO;0;179
CHLOE;60;163098
CHLOEE;0;674
CHLOELIA;0;52
CHLOEY;0;47
CHLOMO;79;0
CHLORANE;0;20
CHLORIS;0;62
CHMOUEL;147;0
CHNEOR;74;0
CHNEOR-ZALMAN;21;0
CHO;0;24
CHOAIB;40;0
CHOCHANA;0;59
CHOCRI;21;0
CHOKRI;248;0
CHONA;0;40
CHOROUK;0;56
CHOUAIB;377;0
CHOUAYB;86;0
CHOUCHANE;0;37
CHOUKI;50;0
CHOUKRA;0;36
CHOUKRI;499;0
CHOUKRY;20;0
CHOUMICHA;0;39
CHOUROUK;0;126
CHRETIEN;838;0
CHRETIENNE;0;21
CHRIF;34;0
CHRIFA;0;68
CHRIS;5303;224
CHRIS-EMMANUEL;35;0
CHRISLA;0;20
CHRISLAIN;130;0
CHRISLAINE;0;313
CHRISLAN;23;0
CHRISLAURE;0;26
CHRISLENE;0;201
CHRISLEY;132;0
CHRISLIN;25;0
CHRISLINE;0;59
CHRISLY;0;50
CHRISLYNE;0;29
CHRISMAEL;75;0
CHRISMAELLE;0;22
CHRISNA;37;52
CHRISS;78;0
CHRISSIE;0;70
CHRISSY;0;180
CHRIST;933;34
CHRIST-EMMANUEL;69;0
CHRISTA;0;1105
CHRISTABEL;0;82
CHRISTABELLE;0;97
CHRISTAL;0;241
CHRISTALE;0;75
CHRISTALINE;0;24
CHRISTALLE;0;40
CHRISTAN;70;0
CHRISTANA;0;32
CHRISTEL;477;21223
CHRISTELA;0;44
CHRISTELE;0;13126
CHRISTELL;0;49
CHRISTELLA;0;242
CHRISTELLE;0;155772
CHRISTEN;41;44
CHRISTENVIE;26;0
CHRISTIA;0;69
CHRISTIAEN;21;0
CHRISTIAN;405691;112
CHRISTIAN-JACQUES;45;0
CHRISTIAN-MARIE;23;0
CHRISTIAN-PIERRE;24;0
CHRISTIANA;0;772
CHRISTIANE;0;259515
CHRISTIANIE;0;22
CHRISTIANNE;0;7958
CHRISTIANO;380;0
CHRISTIE;38;883
CHRISTIEN;59;0
CHRISTIENNE;0;40
CHRISTILA;0;26
CHRISTILLA;0;168
CHRISTIN;251;0
CHRISTINA;0;7842
CHRISTINA-MARIA;0;20
CHRISTINE;34;280646
CHRISTINE-MARIE;0;75
CHRISTINNE;0;78
CHRISTINO;22;0
CHRISTIVIE;23;63
CHRISTO;39;0
CHRISTOBAL;68;0
CHRISTOF;29;0
CHRISTOFER;303;0
CHRISTOFFER;31;0
CHRISTOPH;166;0
CHRISTOPHE;375981;123
CHRISTOPHER;38511;0
CHRISTOPHEUR;34;0
CHRISTOS;105;0
CHRISTVIE;0;28
CHRISTY;188;396
CHRYS;399;33
CHRYSLAINE;0;44
CHRYSLENE;0;83
CHRYSOLINE;0;43
CHRYSOSTOME;61;0
CHRYSS;22;0
CHRYSTA;0;32
CHRYSTAL;0;516
CHRYSTALE;0;108
CHRYSTALLE;0;42
CHRYSTEL;36;4181
CHRYSTELE;0;4697
CHRYSTELL;0;30
CHRYSTELLE;0;9987
CHRYSTIAN;60;0
CHRYSTIANE;0;110
CHRYSTIE;0;55
CHRYSTINA;0;31
CHRYSTINE;0;44
CHRYSTOPHE;66;0
CHRYSTOPHER;112;0
CHU;21;0
CHUN;61;0
CHYARA;0;26
CHYMENE;0;20
CHYRINE;0;45
CIAN;104;0
CIANA;0;348
CIANNA;0;38
CIARA;0;1314
CIARAN;75;0
CIARRA;0;27
CICEK;0;21
CICILIA;0;23
CID;67;0
CIDALIA;0;279
CIDEM;0;70
CIDJEY;0;21
CIDJI;0;61
CIDJIE;0;28
CIDJY;25;125
CIDRA;0;39
CIEL;0;31
CIELO;27;0
CIGDEM;0;219
CIHAD;31;0
CIHAM;0;60
CIHAME;0;53
CIHAN;550;0
CIHANGIR;37;0
CIHAT;67;0
CIHEM;0;29
CILA;0;20
CILEM;0;29
CILIA;0;474
CILIAN;65;0
CILINE;0;21
CILIO;24;0
CILLIA;0;27
CILLIAN;220;0
CILYA;0;81
CINAR;104;0
CINDA;0;72
CINDEL;0;162
CINDELLE;0;93
CINDERELLA;0;162
CINDI;0;38
CINDIA;0;100
CINDIE;0;443
CINDRA;0;24
CINDY;20;64128
CINDYA;0;43
CINDYE;0;32
CINTHIA;0;1315
CINTHYA;0;429
CINTIA;0;117
CINTYA;0;49
CINZIA;0;182
CIPRIAN;48;0
CIPRIANO;54;0
CIRA;0;90
CIRCE;0;394
CIRCEE;0;30
CIRCONCIS;36;0
CIRE;131;0
CIRIL;41;0
CIRILLA;0;26
CIRINE;0;205
CIRO;187;0
CIRYL;148;0
CISSE;31;530
CITLALI;0;45
CIVAN;95;0
CIWAN;72;0
CIYDEM;0;28
CIZIA;30;0
CLADIE;0;542
CLADY;0;20
CLAIR;955;0
CLAIRA;0;42
CLAIRE;231;159893
CLAIRE-AGNES;0;30
CLAIRE-ALICE;0;25
CLAIRE-ALIX;0;42
CLAIRE-AMELIE;0;25
CLAIRE-ANAIS;0;32
CLAIRE-ANNE;0;99
CLAIRE-CECILE;0;31
CLAIRE-CHARLOTTE;0;23
CLAIRE-ELISABETH;0;24
CLAIRE-ELISE;0;53
CLAIRE-EMMANUELLE;0;107
CLAIRE-ESTELLE;0;21
CLAIRE-HELENE;0;122
CLAIRE-ISABELLE;0;35
CLAIRE-LINE;0;44
CLAIRE-LISE;0;469
CLAIRE-LYSE;0;29
CLAIRE-MARIE;0;1158
CLAIRE-MARINE;0;99
CLAIRE-NOELLE;0;31
CLAIRE-SOPHIE;0;122
CLAIRETTE;0;1061
CLAIRIN;33;0
CLAIRINE;0;22
CLAIRVIE;0;25
CLAIRVILLE;26;0
CLAODIA;0;34
CLARA;25;99413
CLARA-LOU;0;64
CLARA-MARIE;0;65
CLARA-ROSE;0;26
CLARANCE;0;146
CLARCK;37;0
CLARE;0;39
CLAREL;75;0
CLARELLE;0;56
CLARENCE;2019;924
CLARENS;66;0
CLARENT;21;0
CLARICE;0;835
CLARIE;0;142
CLARINA;0;32
CLARINDA;0;59
CLARINE;0;139
CLARIS;31;80
CLARISSA;0;613
CLARISSE;70;29818
CLARISSIA;0;24
CLARITA;0;79
CLARIUS;31;0
CLARK;290;0
CLARY;0;108
CLARYCE;0;82
CLARYS;0;490
CLARYSS;0;24
CLARYSSA;0;39
CLARYSSE;0;691
CLAUDE;411755;56643
CLAUDE-ALAIN;32;0
CLAUDE-ALEXANDRE;24;0
CLAUDE-ANDRE;31;0
CLAUDE-BERNARD;40;0
CLAUDE-EMMANUEL;58;0
CLAUDE-EMMANUELLE;0;24
CLAUDE-FRANCOIS;139;0
CLAUDE-HENRI;61;0
CLAUDE-JEAN;30;0
CLAUDE-MARIE;30;102
CLAUDE-MICHEL;46;0
CLAUDE-OLIVIER;27;0
CLAUDE-PIERRE;25;0
CLAUDEL;89;0
CLAUDETTE;0;47756
CLAUDI;84;0
CLAUDIA;0;20632
CLAUDIAN;20;0
CLAUDIANE;0;173
CLAUDIE;259;24545
CLAUDIEN;217;0
CLAUDINA;0;109
CLAUDINE;0;158997
CLAUDINET;54;0
CLAUDINETTE;0;76
CLAUDINO;32;0
CLAUDIO;1648;0
CLAUDIU;44;0
CLAUDIUS;9992;0
CLAUDY;1405;835
CLAUDYA;0;23
CLAUDYE;0;27
CLAUS;72;0
CLAVIUS;24;0
CLAY;100;0
CLAYD;22;0
CLAYTON;630;0
CLEA;0;11241
CLEANDRE;86;0
CLEANE;0;189
CLEANNE;0;52
CLEANTE;26;0
CLEBERT;120;0
CLEDA;0;21
CLEDEN;28;0
CLEIA;0;216
CLEIS;0;24
CLELIA;0;6765
CLELIE;0;1116
CLELY;0;21
CLELYA;0;328
CLEM;0;109
CLEMANCE;0;54
CLEMANT;20;0
CLEMANTINE;0;58
CLEMENCE;26;88162
CLEMENCEAU;84;0
CLEMENCIA;0;223
CLEMENCIN;46;0
CLEMENS;58;0
CLEMENT;178732;103
CLEMENT-MARIE;21;0
CLEMENTE;64;85
CLEMENTIN;266;0
CLEMENTINA;0;50
CLEMENTINE;0;38129
CLEMIE;0;55
CLEMIRE;0;111
CLEMMY;25;0
CLENCY;54;52
CLEO;656;5850
CLEON;37;0
CLEONICE;0;79
CLEOPATRA;0;28
CLEOPATRE;0;104
CLEOPHA;21;0
CLEOPHAS;134;0
CLEOPHEE;0;1321
CLEORE;0;122
CLERMONT;100;0
CLERVIE;0;317
CLERY;251;0
CLESIA;0;22
CLET;690;89
CLEYA;0;232
CLEYTON;52;0
CLHOE;0;160
CLIF;22;0
CLIFF;246;0
CLIFFORD;189;0
CLIFORD;22;0
CLIFTON;63;0
CLINT;110;0
CLINTON;103;0
CLIO;0;378
CLIVE;75;0
CLIVENS;21;0
CLIVIA;0;55
CLOANE;0;36
CLODETTE;0;173
CLODIA;0;51
CLODIE;0;63
CLODINE;0;131
CLODIUS;45;0
CLODOMIR;321;0
CLOE;0;17862
CLOEE;0;158
CLOELIA;0;190
CLOEY;0;20
CLORINDA;0;114
CLORINDE;0;335
CLORINTHE;0;91
CLOTAIRE;4089;142
CLOTHAIRE;109;0
CLOTHILDE;0;5991
CLOTIDE;0;31
CLOTILDE;110;27324
CLOUD;67;34
CLOVER;0;26
CLOVICIA;0;21
CLOVIS;10650;0
CLYDE;403;0
COCO;0;46
CODDY;56;0
CODOU;0;45
CODY;607;0
COECILIA;0;21
COHEN;28;0
COLAS;748;0
COLBERT;629;0
COLE;79;0
COLEEN;51;1627
COLEENE;0;46
COLETTE;136;174975
COLIN;6321;0
COLINE;0;22535
COLINETTE;0;44
COLINN;22;0
COLINNE;0;49
COLLEEN;0;1743
COLLETTE;0;1091
COLLIN;150;0
COLLINE;0;970
COLLINS;86;0
COLLYN;22;23
COLLYNE;0;240
COLOMB;35;0
COLOMBA;0;293
COLOMBAN;280;0
COLOMBE;105;4201
COLOMBINE;0;252
COLYN;162;22
COLYNE;0;1399
COLYNN;32;58
COMBA;0;20
COME;14884;221
CONAN;68;0
CONCEICAO;0;83
CONCEPCION;0;282
CONCEPTION;0;1280
CONCESSION;0;27
CONCETTA;0;696
CONCETTINA;0;115
CONCHA;0;76
CONCHETTA;0;40
CONCHITA;0;747
CONG;57;0
CONNIE;0;117
CONNOR;389;0
CONOR;270;0
CONRAD;810;0
CONSOLACION;0;22
CONSOLATION;0;102
CONSTAN;47;0
CONSTANCE;39;27365
CONSTANCIA;0;20
CONSTANS;33;0
CONSTANT;15211;37
CONSTANTIN;3912;0
CONSTANTINA;0;66
CONSTANTINE;0;367
CONSTANTINO;189;0
CONSTANTINOS;30;0
CONSTANZA;0;35
CONSUELA;0;97
CONSUELO;22;478
CONTESA;0;25
COOPER;78;0
COPPELIA;0;49
CORA;0;617
CORA-LINE;0;27
CORADO;35;0
CORAIL;0;107
CORAL;0;32
CORALIA;0;86
CORALIE;0;55390
CORALINE;0;8959
CORALISE;0;50
CORALLINE;0;45
CORALLY;0;22
CORALY;0;751
CORALYE;0;35
CORALYN;0;33
CORALYNE;0;518
CORANE;0;28
CORANTHIN;22;0
CORANTIN;584;0
CORANTINE;0;40
CORDELIA;0;279
CORDULA;0;20
CORELIA;0;81
CORELIE;0;45
CORENTHIN;293;0
CORENTIN;59268;0
CORENTINE;0;1647
CORENTYN;142;0
CORETTA;0;30
COREY;143;0
CORIAN;31;0
CORIANE;0;22
CORIE;0;67
CORIN;27;0
CORINA;0;211
CORINE;0;17185
CORINNA;0;99
CORINNE;0;162840
CORIOLAN;74;0
CORISANDE;0;62
CORNEILLE;372;23
CORNEL;23;0
CORNELIA;0;615
CORNELIE;0;527
CORNELIS;78;0
CORNELIUS;86;0
CORNELLIA;0;25
CORNIL;27;0
CORRADO;173;0
CORRIE;0;25
CORRINE;0;672
CORRINNE;0;67
CORRY;34;0
CORTO;665;0
CORWIN;71;0
CORY;180;100
CORYNE;0;102
CORYNNE;0;28
CORYSE;0;139
COSETTE;0;1569
COSIMA;0;269
COSIMO;295;0
COSKUN;66;0
COSMA;67;0
COSME;374;0
COSMIN;80;0
COSMO;81;0
COSSETTE;0;27
COSTA;216;0
COSTANTINO;44;0
COSTANZA;0;49
COSTIN;46;0
COULIBALY;21;0
COUMBA;0;2224
COUPOUSSAMY;40;0
COURA;0;54
COURO;0;24
COURT;213;0
COURTE;44;0
COURTNEY;0;137
COZETTE;0;55
CRAIG;195;0
CREPIN;470;136
CRESCENCE;0;71
CRESCENT;360;87
CRESCENTE;0;58
CRESLAW;29;0
CRESTINA;0;41
CRINA;0;37
CRIS;167;0
CRISS;39;0
CRISTA;0;40
CRISTAL;0;448
CRISTALE;0;118
CRISTALINA;0;20
CRISTALINE;0;20
CRISTALLE;0;24
CRISTEL;28;766
CRISTELA;0;53
CRISTELE;0;239
CRISTELLE;0;2085
CRISTIAN;488;0
CRISTIANA;0;175
CRISTIANE;0;144
CRISTIANO;1203;0
CRISTIE;0;21
CRISTINA;0;2895
CRISTINA-MARIA;0;29
CRISTINE;0;295
CRISTOBAL;299;0
CRISTOFE;32;0
CRISTOFER;21;0
CRISTOPHE;154;0
CRISTOPHER;99;0
CRISTOVAO;105;0
CROCIFISSA;0;41
CRUZ;107;0
CRYS;52;0
CRYSTA;0;46
CRYSTAL;0;1520
CRYSTALE;0;243
CRYSTALLE;0;36
CRYSTEL;0;252
CRYSTELE;0;113
CRYSTELLE;0;315
CUMA;53;0
CUMALI;23;0
CUNEGONDE;0;69
CUNEYT;65;0
CURT;424;0
CURTIS;2210;0
CURTISS;37;0
CURTYS;222;0
CUSTODIO;34;0
CYAN;96;45
CYANA;0;313
CYANE;0;252
CYANN;50;277
CYANNA;0;74
CYANNE;0;98
CYARA;0;113
CYBEL;0;20
CYBELE;0;306
CYBELIA;0;354
CYBELLE;0;67
CYBELLIA;0;108
CYBIL;0;29
CYBILE;0;46
CYBILL;0;32
CYBILLE;0;116
CYDJIE;0;20
CYDRA;0;24
CYHAN;29;0
CYLENE;0;34
CYLIA;0;1619
CYLIAN;321;0
CYLIANA;0;34
CYLIANE;0;148
CYLIANN;39;0
CYLIEN;44;0
CYLINIA;0;33
CYLLIA;0;68
CYLLIAN;42;0
CYNDA;0;66
CYNDEL;0;233
CYNDELLE;0;223
CYNDI;0;238
CYNDIA;0;291
CYNDIE;0;1740
CYNDRA;0;62
CYNDY;0;153
CYNTHIA;0;22535
CYNTHIANA;0;20
CYNTIA;0;512
CYPRIAN;97;0
CYPRIANE;0;67
CYPRIEN;10671;68
CYPRIENNE;0;1182
CYPRILLE;0;45
CYPRINE;0;28
CYR;779;42
CYRAN;32;0
CYRANO;100;0
CYRIA;0;64
CYRIAC;513;0
CYRIACK;46;0
CYRIAK;94;0
CYRIAN;527;0
CYRIANA;0;34
CYRIANE;0;586
CYRIANN;20;0
CYRIANNE;0;104
CYRIAQUE;2012;229
CYRIEL;216;116
CYRIELE;0;78
CYRIELLE;0;11500
CYRIENNE;0;29
CYRIL;88429;0
CYRILE;202;38
CYRILL;422;0
CYRILLA;0;31
CYRILLE;36858;1590
CYRILLIA;0;156
CYRINA;0;35
CYRINE;0;1279
CYRINNE;0;32
CYRIUS;72;0
CYRUS;392;0
CYRVAN;21;0
CZESLAS;109;0
CZESLAW;1453;0
CZESLAWA;0;340
CZESTAW;36;0
DA;0;25
DAAN;77;0
DABA;33;68
DABHIA;0;21
DABIA;0;132
DABIHA;0;36
DABO;0;28
DABY;38;0
DACHI;23;0
DACINE;0;22
DADI;30;0
DADO;0;535
DADY;29;0
DAEGAN;50;0
DAEL;134;0
DAEMON;96;0
DAENA;0;46
DAENERYS;0;176
DAERON;21;0
DAEVEN;34;0
DAEVON;56;0
DAFINA;0;43
DAFNA;0;20
DAFNE;0;130
DAGAN;58;0
DAGMAR;0;107
DAGMARA;0;22
DAGOBERT;65;0
DAHA;22;0
DAHAB;0;37
DAHABA;54;0
DAHBIA;0;468
DAHIA;0;22
DAHINA;0;44
DAHIROU;23;0
DAHLIA;0;1348
DAHLILA;0;40
DAHLYA;0;62
DAHMAN;35;0
DAHMANE;139;0
DAHO;66;0
DAHOU;27;0
DAHYAN;31;0
DAHYNA;0;22
DAI;51;0
DAIANA;0;202
DAIKI;21;0
DAILA;0;24
DAINA;0;546
DAINYS;20;0
DAISIE;0;47
DAISSY;0;25
DAISUKE;26;0
DAISY;0;4793
DAIVY;164;0
DAJANA;0;20
DAKOTA;33;167
DALA;0;60
DALABA;0;38
DALAL;0;219
DALALE;0;30
DALANDA;0;133
DALE;79;0
DALEL;0;159
DALELE;0;26
DALENDA;0;55
DALHIA;0;262
DALHILA;0;46
DALHYA;0;30
DALI;245;84
DALIA;0;2245
DALIAH;0;32
DALIAN;27;0
DALIANA;0;89
DALIANE;0;47
DALIBOR;135;0
DALIBORKA;0;38
DALIDA;0;857
DALIE;0;37
DALIL;1360;0
DALILA;0;11276
DALILAH;0;96
DALILE;26;0
DALILHA;0;46
DALILLA;0;35
DALINA;0;105
DALINDA;0;164
DALINE;0;130
DALIYA;0;79
DALLA;24;383
DALLAL;0;31
DALLEL;0;26
DALLIA;0;43
DALLIL;20;0
DALLILA;0;75
DALLO;0;44
DALLOBA;0;40
DALLY;0;70
DALO;0;20
DALOBA;0;246
DALTON;23;0
DALVA;0;132
DALVIN;27;0
DALVINA;0;20
DALY;73;105
DALYA;0;810
DALYAN;47;0
DALYANA;0;45
DALYL;50;0
DALYLA;0;21
DALYNA;0;22
DALYNE;0;20
DAMA;123;0
DAMAN;54;0
DAMARIS;0;356
DAMARYS;0;25
DAMAS;179;0
DAMASE;163;32
DAMBOU;20;0
DAME;28;0
DAMIA;0;191
DAMIAN;1680;0
DAMIANA;0;56
DAMIANE;33;20
DAMIANN;43;0
DAMIANO;155;0
DAMIEN;126236;83
DAMIENE;0;43
DAMIENNE;0;693
DAMIENS;290;0
DAMIR;267;0
DAMJAN;59;0
DAMLA;0;701
DAMON;521;0
DAMYA;0;172
DAMYAN;113;0
DAMYEN;23;0
DAN;4652;53
DANA;50;2314
DANAE;0;1865
DANAEE;0;26
DANAEL;304;0
DANAELLE;0;247
DANAH;0;38
DANAIS;0;24
DANAYA;0;28
DANDY;20;0
DANE;153;0
DANEEN;0;22
DANEL;26;0
DANG;79;0
DANH;63;0
DANI;800;52
DANIA;0;2033
DANIAH;0;22
DANIAL;122;0
DANICA;0;93
DANICK;136;69
DANIE;26;610
DANIEL;436677;176
DANIELA;0;2874
DANIELE;112;84599
DANIELLA;0;2001
DANIELLE;0;158124
DANIELLY;0;27
DANIELO;39;0
DANIIL;120;0
DANIJEL;57;0
DANIJELA;0;119
DANIK;23;0
DANIKA;0;44
DANIL;208;0
DANILA;0;275
DANILLA;0;30
DANILLO;27;0
DANILO;506;0
DANILSON;30;0
DANIS;164;0
DANISH;59;0
DANITA;0;29
DANITCHA;0;22
DANITZA;0;87
DANIYA;0;213
DANIYAH;0;82
DANIYAL;54;0
DANKA;0;29
DANN;295;0
DANNA;0;184
DANNICK;33;31
DANNIE;0;158
DANNY;2786;610
DANOVAN;22;0
DANTE;1104;0
DANTES;35;0
DANTON;225;0
DANUTA;0;107
DANY;18191;7836
DANYA;0;579
DANYAH;0;36
DANYAL;106;0
DANYE;0;40
DANYEL;98;0
DANYELE;0;69
DANYL;286;0
DANYLA;0;46
DANYLO;26;0
DANYS;52;0
DAO;91;0
DAOUD;1206;0
DAOUDA;1439;0
DAOUDI;21;0
DAOUIA;0;152
DAOUYA;0;60
DAPHNA;0;36
DAPHNE;0;9715
DAPHNEE;0;2485
DAPHNEY;0;73
DAPHNIS;36;0
DARA;198;151
DARAN;25;0
DARCY;82;131
DARDAN;42;0
DAREEN;0;24
DAREK;20;0
DAREL;243;0
DARELL;409;0
DAREN;545;0
DARENN;84;0
DARI;44;0
DARIA;0;1465
DARIAN;107;0
DARIANA;0;57
DARIANE;0;86
DARIANNE;0;24
DARICK;32;0
DARIE;0;232
DARIEL;25;0
DARIELLE;0;30
DARIL;78;0
DARIN;27;26
DARINA;0;338
DARINE;0;957
DARINKA;0;25
DARIO;3120;0
DARIS;332;0
DARIUS;2139;0
DARIUSH;21;0
DARIYA;0;25
DARKO;275;0
DARLA;0;85
DARLANE;0;21
DARLANNE;0;20
DARLEEN;0;20
DARLENE;0;466
DARLINE;0;64
DARLING;0;81
DARLY;22;0
DARNEL;74;0
DARNELL;95;0
DARON;30;0
DARREL;159;0
DARRELL;123;0
DARREN;1243;0
DARRIS;76;0
DARRY;73;0
DARRYL;373;0
DARSHAN;94;0
DARVIN;36;0
DARWIN;185;0
DARY;82;28
DARYA;0;163
DARYAN;34;0
DARYL;1656;0
DARYLL;81;0
DARYNA;0;35
DARYNE;0;105
DARYO;68;0
DARYS;61;0
DASHA;0;45
DASSINE;0;114
DASTAN;265;0
DASTANE;30;0
DASTANN;23;0
DAT;23;0
DAUNIA;0;28
DAUPHIN;32;0
DAUPHINE;0;225
DAURIAN;25;0
DAURIANE;0;34
DAURINE;0;29
DAVE;1155;0
DAVEN;108;0
DAVENS;25;0
DAVI;259;0
DAVIA;0;233
DAVID;314998;138
DAVID-ALEXANDRE;466;0
DAVID-EMMANUEL;94;0
DAVID-JUNIOR;40;0
DAVID-OLIVIER;54;0
DAVID-VINCENT;37;0
DAVIDA;0;25
DAVIDE;557;51
DAVIDSON;222;0
DAVILA;0;51
DAVILIA;0;28
DAVIN;39;0
DAVINA;0;1962
DAVINIA;0;37
DAVIS;318;0
DAVIT;70;0
DAVON;169;0
DAVOR;62;0
DAVOUD;22;0
DAVUD;115;0
DAVUT;190;0
DAVY;9447;51
DAVYD;45;0
DAVYNA;0;55
DAVYS;57;0
DAWEN;43;0
DAWENS;48;0
DAWID;103;0
DAWN;0;152
DAWOOD;36;0
DAWOUD;303;0
DAWSON;1153;0
DAWUD;119;0
DAWY;23;0
DAYA;0;188
DAYAN;1362;0
DAYANA;0;1331
DAYANAH;0;36
DAYANARA;0;29
DAYANE;308;83
DAYANI;22;0
DAYANN;475;0
DAYANNA;0;173
DAYANNAH;0;20
DAYANNE;20;36
DAYE;23;0
DAYEL;21;0
DAYEN;177;0
DAYENA;0;301
DAYINA;0;38
DAYLAN;75;0
DAYLANN;20;0
DAYLIA;0;33
DAYLON;64;0
DAYMON;241;0
DAYMOND;24;0
DAYMONE;27;0
DAYNA;0;561
DAYNIS;90;0
DAYRICK;24;0
DAYRON;377;0
DAYRONE;24;0
DAYRONN;36;0
DAYS;31;0
DAYSAM;47;0
DAYSON;44;0
DAYTON;45;0
DAYVAN;31;0
DAYVEN;130;0
DAYVIN;21;0
DAYVIS;28;0
DAYVON;294;0
DAYVONN;34;0
DAYWEN;20;0
DAYYAN;54;0
DE;40;29
DEA;0;400
DEAN;1003;0
DEANA;0;63
DEANNA;0;66
DEAVEN;22;0
DEAVON;45;0
DEAVY;30;0
DEBBIE;0;88
DEBBY;0;43
DEBHORA;0;29
DEBORA;0;1822
DEBORAH;0;30833
DEBORATH;0;36
DEBORHA;0;45
DEBORRAH;0;79
DEBRA;0;334
DECIUS;28;0
DECLAN;267;0
DEDE;21;53
DEECLAN;32;0
DEELAN;34;0
DEEN;24;0
DEENA;0;24
DEEPIKA;0;21
DEFNE;0;578
DEHBIA;0;127
DEHIA;0;23
DEHLIA;0;155
DEHYA;0;24
DEIRDRE;0;53
DEIVY;30;0
DEJAN;711;0
DEJANA;0;25
DEKLAN;22;0
DEKRA;0;69
DEL;190;20
DELAL;0;172
DELAN;65;0
DELANO;43;0
DELCIA;0;21
DELCY;0;23
DELE;0;52
DELFIM;43;0
